stop_id,stop_code,stop_name,stop_lat,stop_lon
stop_26_91520_75_73001,BMIYA,"BAJRI MANDI PULIYA",26.9152,75.730005
stop_26_91094_75_72956,KLACE,"KARNI PLACE",26.91094,75.729555
stop_26_90563_75_72894,GIT,"GANDHI PATH",26.905627,75.728944
stop_26_90229_75_72958,CLIYA,"CHITRKOOT PULIYA",26.902291,75.72958
stop_26_89515_75_73385,HAP,"HEERA PURA",26.895148,75.733854
stop_26_88406_75_74015,SUNDA,"SUNDAR NAGAR",26.884057,75.740146
stop_26_88179_75_74177,NTPNA,"NEW TP NAGAR",26.881787,75.741768
stop_26_88000_75_74307,DKATA,"DHARAM KATA",26.880002,75.743073
stop_26_88035_75_75809,GANGA,"GANGA JAMUNA",26.880353,75.758092
stop_26_88069_75_76714,GKTHA,"GUJAR KI THADI",26.880687,75.767142
stop_26_87740_75_77291,MNMOD,"MAHESH NAGAR MOD",26.877398,75.772908
stop_26_87351_75_77682,SURYA,"SURYA NGR",26.873509,75.776823
stop_26_87230_75_77868,RIDHI,"RIDHI SIDHI",26.8723,75.77868
stop_26_86841_75_78415,TNAGA,"TRIVENI NAGAR",26.868415,75.784154
stop_26_86263_75_79585,MNAGA,"MAHAVEER NAGAR",26.862633,75.795849
stop_26_87169_75_79717,SKGAT,"SAYEED KA GATTA",26.871692,75.797165
stop_26_87941_75_79887,GLA,"TONK PHATAK",26.879409,75.798868
stop_26_88352_75_80076,SBM,"SABJI MANDI",26.883524,75.800756
stop_26_89900_75_81716,TRILE,"TRIMURTI CIRCLE",26.898997,75.817164
stop_26_89963_75_81966,DSCLE,"DHARAM SINGH CIRCLE",26.899634,75.819659
stop_26_89663_75_82707,RPARK,"RAJA PARK",26.896626,75.827066
stop_26_89919_75_83339,BHANA,"BARAF KHANA",26.899192,75.833394
stop_26_90253_75_83672,MITAL,"MANTAL HOSPITAL",26.902533,75.836723
stop_26_90637_75_84046,TPNMO,"TP NAGAR MOD",26.906365,75.840457
stop_26_90455_75_84430,TRANS,"TRANSPORT NGR",26.90455,75.844302
stop_26_90630_75_84064,TPNMO,"TP NAGAR MOD",26.906299,75.840636
stop_26_89915_75_83339,BHANA,"BARAF KHANA",26.899145,75.833389
stop_26_89693_75_82710,RPARK,"RAJA PARK",26.89693,75.827104
stop_26_89957_75_81885,DSCLE,"DHARAM SINGH CIRCLE",26.899568,75.81885
stop_26_89899_75_81733,TRILE,"TRIMURTI CIRCLE",26.898995,75.817335
stop_26_89919_75_81220,NSCIR,"NARAYAN SINGH CIRCLE",26.899193,75.812197
stop_26_89632_75_81002,RBC,"RAMBAGH CIRCLE",26.896316,75.810023
stop_26_88721_75_80281,GNMOD,"GANDHI NAGAR MOD",26.887209,75.802811
stop_26_88493_75_80170,SBM,"SABJI MANDI",26.88493,75.801702
stop_26_87961_75_79913,GLA,"TONK PHATAK",26.879611,75.799125
stop_26_87179_75_79738,SKGAT,"SAYEED KA GATTA",26.87179,75.79738
stop_26_86636_75_79665,GPMOD,"GOPAL PURA MOD",26.866361,75.796649
stop_26_86248_75_79511,MNAGA,"MAHAVEER NAGAR",26.862479,75.795105
stop_26_86882_75_78356,TNAGA,"TRIVENI NAGAR",26.868824,75.783563
stop_26_87248_75_77794,RIDHI,"RIDHI SIDHI",26.872481,75.777936
stop_26_87450_75_77560,SURYA,"SURYA NGR",26.874505,75.775602
stop_26_87742_75_77252,MNMOD,"MAHESH NAGAR MOD",26.877418,75.772516
stop_26_88021_75_76526,GKTHA,"GUJAR KI THADI",26.880206,75.76526
stop_26_87945_75_76168,GANGA,"GANGA JAMUNA",26.87945,75.761679
stop_26_87933_75_74363,DKATA,"DHARAM KATA",26.879333,75.743631
stop_26_88168_75_74155,NTPNA,"NEW TP NAGAR",26.881676,75.741549
stop_26_88395_75_74000,SUNDA,"SUNDAR NAGAR",26.883945,75.7400031
stop_26_89526_75_73326,HAP,"HEERA PURA",26.895257,75.733261
stop_26_90208_75_72908,CLIYA,"CHITRKOOT PULIYA",26.902082,75.729077
stop_26_90587_75_72850,GIT,"GANDHI PATH",26.905866,75.728502
stop_26_91140_75_72911,KLACE,"KARNI PLACE",26.911399,75.729105
stop_26_91524_75_72955,BMIYA,"BAJRI MANDI PULIYA",26.915242,75.72955
stop_26_92017_75_72999,PLIYA,"PANCHAYALA PULIYA",26.920166,75.729987
stop_26_93211_75_73029,KPIYA,"KHIRNI PHATAK PULIYA",26.932115,75.730293
stop_26_84136_75_77009,AGARW,"AGARWAL FARM",26.841362,75.770089
stop_26_84340_75_77758,VIJAY,"VIJAY PATH",26.8434,75.77758
stop_26_83936_75_79404,MFARM,"MAHARANI FARM",26.839364,75.794037
stop_26_85108_75_79420,DGP,"DURGAPURA",26.85108,75.794199
stop_26_86593_75_79636,SKGAT,"SAYEED KA GATTA",26.865931,75.796364
stop_26_87939_75_79885,GLA,"TONK PHATAK",26.879394,75.798846
stop_26_88686_75_80242,GNMOD,"GANDHI NAGAR MOD",26.88686,75.80242
stop_26_91454_75_81656,AJG,"AJMERI GATE",26.914543,75.816563
stop_26_92417_75_80403,MYANK,"MAYANK",26.92417,75.80403
stop_26_93272_75_79777,PTORY,"PITAL FACTORY",26.932715,75.797773
stop_26_93949_75_80134,PKTAN,"PANI KI TANKI",26.939492,75.801336
